profile_name,email,ship_name,ship_phone,ship_address1,ship_address2,ship_city,ship_zip,ship_state,ship_country,card_name,card_address1,card_address2,card_city,card_zip,card_state,card_country,card_phone,card_number,card_cvc,card_expmonth,card_expyear,size
b4a657,tressa_breitenberg@gmail.com,Ms. Jewel,1-778-903-8235,232 2nd St NW,,"Washington, DC",20001,DC,US,Ms. Jewel McDermott,232 2nd St NW,,"Washington, DC",20001,DC,US,1-778-903-8235,5555555555554444,561,2,2024,
13d940,dillan.bernier@gmail.com,Flossie Strosin,1-619-507-5497,232 2nd St NW,,"Washington, DC",20001,DC,US,Flossie Strosin,232 2nd St NW,,"Washington, DC",20001,DC,US,1-619-507-5497,5555555555554444,547,3,2023,
146f73,madge@gmail.com,Marquise Treutel,669-129-6215,232 2nd St NW,,"Washington, DC",20001,DC,US,Marquise Treutel,232 2nd St NW,,"Washington, DC",20001,DC,US,669-129-6215,5555555555554444,315,7,2021,
b7772f,hulda@gmail.com,Miss Napoleon,700-770-4691,232 2nd St NW,,"Washington, DC",20001,DC,US,Miss Napoleon Mann,232 2nd St NW,,"Washington, DC",20001,DC,US,700-770-4691,5555555555554444,402,5,2024,
b12a1c,abigale@gmail.com,Edna Crona,1-946-098-8439,232 2nd St NW,,"Washington, DC",20001,DC,US,Edna Crona Sr.,232 2nd St NW,,"Washington, DC",20001,DC,US,1-946-098-8439,5555555555554444,284,1,2021,
550611,remington@gmail.com,Rolando Stokes,1-774-763-8413,232 2nd St NW,,"Washington, DC",20001,DC,US,Rolando Stokes,232 2nd St NW,,"Washington, DC",20001,DC,US,1-774-763-8413,5555555555554444,333,8,2022,
fc8acd,watson@gmail.com,Kathryne Stiedemann,772-168-3900,232 2nd St NW,,"Washington, DC",20001,DC,US,Kathryne Stiedemann,232 2nd St NW,,"Washington, DC",20001,DC,US,772-168-3900,5555555555554444,598,6,2024,
3931e8,makenna@gmail.com,Teresa Kling,1-770-788-5453,232 2nd St NW,,"Washington, DC",20001,DC,US,Teresa Kling V,232 2nd St NW,,"Washington, DC",20001,DC,US,1-770-788-5453,5555555555554444,596,11,2023,
78c569,gladys_thiel@gmail.com,Arely Ward,(130) 268-2641,232 2nd St NW,,"Washington, DC",20001,DC,US,Arely Ward,232 2nd St NW,,"Washington, DC",20001,DC,US,(130) 268-2641,5555555555554444,822,1,2024,
acb492,joshua@gmail.com,Mallory Botsford,(237) 469-8654,232 2nd St NW,,"Washington, DC",20001,DC,US,Mallory Botsford,232 2nd St NW,,"Washington, DC",20001,DC,US,(237) 469-8654,5555555555554444,761,3,2024,
cba7a1,lonnie_sawayn@gmail.com,Ms. Mabelle,367-272-6592,232 2nd St NW,,"Washington, DC",20001,DC,US,Ms. Mabelle Gusikowski,232 2nd St NW,,"Washington, DC",20001,DC,US,367-272-6592,5555555555554444,315,8,2024,
a671e1,graciela.thiel@gmail.com,Brandy Bechtelar,558.553.4019,232 2nd St NW,,"Washington, DC",20001,DC,US,Brandy Bechtelar II,232 2nd St NW,,"Washington, DC",20001,DC,US,558.553.4019,5555555555554444,905,9,2021,
0b503e,zula@gmail.com,Mathias Effertz,722.839.2477,232 2nd St NW,,"Washington, DC",20001,DC,US,Mathias Effertz Jr.,232 2nd St NW,,"Washington, DC",20001,DC,US,722.839.2477,5555555555554444,384,7,2022,
